Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",112.700000,-74.225000,0.000000,top
"C2","22u","C_0805_2012Metric",117.550000,-79.125000,90.000000,top
"C3","10u","C_0603_1608Metric",100.225000,-64.750000,0.000000,top
"C4","100n","C_0402_1005Metric",96.800000,-69.020000,90.000000,top
"C5","100n","C_0402_1005Metric",105.745000,-78.200000,180.000000,top
"C6","100n","C_0402_1005Metric",108.750000,-69.770000,-90.000000,top
"C7","100n","C_0402_1005Metric",100.270000,-66.250000,0.000000,top
"C8","10n","C_0402_1005Metric",96.900000,-73.300000,90.000000,top
"C9","1u","C_0402_1005Metric",95.895000,-76.775000,180.000000,top
"C10","1u","C_0402_1005Metric",95.870000,-78.350000,180.000000,top
"C11","100n","C_0402_1005Metric",100.220000,-78.750000,0.000000,top
"C12","10p","C_0402_1005Metric",95.300000,-70.050000,90.000000,top
"C13","10p","C_0402_1005Metric",95.300000,-72.010000,90.000000,top
"D1","LED","LED_0603_1608Metric",121.000000,-79.300000,-90.000000,top
"FB1","120R","L_0603_1608Metric",97.625000,-77.562500,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",121.800000,-70.925000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",101.750000,-57.650000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",117.040000,-57.750000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",98.380000,-84.000000,90.000000,top
"R1","1k5","R_0402_1005Metric",121.510000,-76.500000,0.000000,top
"R2","10k","R_0402_1005Metric",91.250000,-64.260000,90.000000,top
"R3","1k5","R_0402_1005Metric",112.250000,-70.340000,-90.000000,top
"R4","1k5","R_0402_1005Metric",100.260000,-81.250000,180.000000,top
"R5","1k5","R_0402_1005Metric",103.315000,-81.275000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",87.750000,-65.500000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",112.550000,-80.025000,-90.000000,top
"U2","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",102.750000,-72.250000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",92.800000,-70.900000,-90.000000,top
